#Step:       Beta:       E_tot:       Err:
513              85.852           -0.429543          0.00339418
514             86.7192           -0.432139          0.00306256
515             87.5951           -0.432941          0.00369556
516             88.4799           -0.427509          0.00266663
517             89.3737           -0.441812          0.00262326
518             90.2764           -0.426919          0.00299339
519             91.1883           -0.443817          0.00230559
520             92.1094           -0.437224          0.00252457
521             93.0398           -0.444716          0.00263475
522             93.9796           -0.441342          0.00236462
523             94.9289            -0.43972          0.00239777
524             95.8878           -0.436155          0.00194126
525             96.8563           -0.424086           0.0036491
526             97.8347           -0.440467          0.00218246
527             98.8229           -0.440801          0.00289958
528             99.8211           -0.444253          0.00229861
